ISO,Latitude,Longitude,Source,,,,,,,,,
PNG,-6,147,https://www.papuanewguinea.travel/coronavirus-information-travel-advice,,,,,,,,,
PRY,-23,-58,https://py.usembassy.gov/covid-19-information-2/,,,,,,,,,
PER,-10,-76,https://pe.usembassy.gov/covid-19-information/,,,,,,,,,
PHL,13,122,https://www.dfa.gov.ph/covid-19-advisories/26400-travel-advisory-inbound-travel-restrictions-by-philippine-government-on-filipino-travelers,,,,,,,,,
POL,52,20,https://www.poland.travel/en/travel-inspirations/safety-advice-for-travellers-concerning-the-covid-19-epidemic,,,,,,,,,
PRT,39.5,-8,https://www.visitportugal.com/en/node/421175,,,,,,,,,
QAT,25.5,51.25,https://qa.usembassy.gov/covid-19-information-3/,,,,,,,,,
ROU,46,25,https://ro.usembassy.gov/covid-19-information/,,,,,,,,,
RUS,60,100,https://ru.usembassy.gov/covid-19-information/,,,,,,,,,
RWA,-2,30,https://rw.usembassy.gov/health-alert-covid-19-information/,,,,,,,,,
KNA,17.3333,-62.75,https://www.stkittstourism.kn/travel-advisory-update,,,,,,,,,
LCA,13.8833,-61.1333,https://www.stlucia.org/en/covid-19/,,,,,,,,,
WSM,-13.5833,-172.3333,https://ws.usembassy.gov/covid-19-information/,,,,,,,,,
SMR,43.7667,12.4167,https://www.gov.uk/foreign-travel-advice/san-marino/entry-requirements,,,,,,,,,
STP,1,7,https://ga.usembassy.gov/u-s-citizen-services/coronavirus-update/,,,,,,,,,
SAU,25,45,https://sa.usembassy.gov/u-s-citizen-services/covid-19-information/,,,,,,,,,
SEN,14,-14,https://sn.usembassy.gov/covid-19-information/,,,,,,,,,
SRB,44,21,https://www.gov.uk/foreign-travel-advice/serbia/entry-requirements,,,,,,,,,
SYC,-4.5833,55.6667,https://mu.usembassy.gov/covid-19-seychelles/,,,,,,,,,
SLE,8.5,-11.5,https://sl.usembassy.gov/covid-19-information/,,,,,,,,,
SGP,1.3667,103.8,https://www.gov.sg/article/covid-19-travel-restrictions-for-foreign-visitors-entering-singapore,,,,,,,,,
SVK,48.6667,19.5,https://www.mzv.sk/web/en/covid-19,,,,,,,,,
SVN,46,15,https://si.usembassy.gov/covid-19-information/,,,,,,,,,
SLB,-8,159,https://www.gov.uk/foreign-travel-advice/solomon-islands/entry-requirements,,,,,,,,,
SOM,10,49,https://www.gov.uk/foreign-travel-advice/somalia/entry-requirements,,,,,,,,,
ZAF,-29,24,https://www.gov.za/Coronavirus/travel,,,,,,,,,
KOR,37,127.5,https://kr.usembassy.gov/022420-covid-19-information/,,,,,,,,,
SSD,6.88,31.3,https://www.gov.uk/foreign-travel-advice/south-sudan/entry-requirements,,,,,,,,,
ESP,40,-4,https://www.spain.info/en/reportajes/informacion-practica-turistas-covid-19-viajar-espana.html#,,,,,,,,,
LKA,7,81,https://srilanka.travel/covid19/,,,,,,,,,
VCT,13.25,-61.2,https://www.gov.uk/foreign-travel-advice/st-vincent-and-the-grenadines/coronavirus,,,,,,,,,
SDN,15,30,https://sd.usembassy.gov/covid-19-information/,,,,,,,,,
SUR,4,-56,https://sr.usembassy.gov/covid-19-information/,,,,,,,,,
SWE,62,15,https://www.government.se/press-releases/2020/03/temporary-ban-on-travel-to-sweden-due-to-covid-19/,,,,,,,,,
CHE,47,8,https://ch.usembassy.gov/covid-19-info/,,,,,,,,,
SYR,35,38,NA,,,,,,,,,
TWN,23.5,121,https://www.boca.gov.tw/cp-220-5081-c06dc-2.html,,,,,,,,,
TJK,39,71,https://www.gov.uk/foreign-travel-advice/tajikistan/entry-requirements,,,,,,,,,
TZA,-6,35,https://tz.usembassy.gov/covid-19-information/,,,,,,,,,
THA,15,100,https://www.thaiembassy.com/travel/covid-19-guide-for-travelers-in-thailand.php,,,,,,,,,
TLS,-8.55,125.5167,https://tl.usembassy.gov/covid-19-information/,,,,,,,,,
TGO,8,1.1667,https://tg.usembassy.gov/u-s-citizen-services/security-and-travel-information/covid-19/,,,,,,,,,
TON,-20,-175,https://fj.usembassy.gov/u-s-citizen-services/covid-19-information/,,,,,,,,,
TTO,11,-61,https://tt.usembassy.gov/tag/coronavirus-covid-19/,,,,,,,,,
TUN,34,9,https://www.gov.uk/foreign-travel-advice/tunisia/entry-requirements,,,,,,,,,
TUR,39,35,https://tr.usembassy.gov/covid-19-information-2/,,,,,,,,,
TKM,40,60,https://tm.usembassy.gov/covid-19-information/,,,,,,,,,
TUV,-8,178,https://fj.usembassy.gov/u-s-citizen-services/covid-19-information/,,,,,,,,,
UGA,1,32,https://ug.usembassy.gov/covid-19-information-page/,,,,,,,,,
UKR,49,32,https://ua.usembassy.gov/covid-19-information/,,,,,,,,,
ARE,24,54,https://ae.usembassy.gov/covid-19-information/,,,,,,,,,
GBR,54,-2,https://www.gov.uk/guidance/travel-advice-novel-coronavirus,,,,,,,,,
USA,38,-97,https://www.cdc.gov/coronavirus/2019-ncov/travelers/from-other-countries.html,,,,,,,,,
URY,-33,-56,https://uy.usembassy.gov/covid-19-information/,,,,,,,,,
UZB,41,64,https://uz.usembassy.gov/covid-19-information/,,,,,,,,,
VUT,-16,167,https://www.smartraveller.gov.au/destinations/pacific/vanuatu,,,,,,,,,
VAT,41.9,12.45,http://www.salute.gov.it/portale/nuovocoronavirus/dettaglioFaqNuovoCoronavirus.jsp?lingua=english&id=230,,,,,,,,,
VEN,8,-66,https://ve.usembassy.gov/covid-19-information/,,,,,,,,,
VNM,16,106,https://vn.usembassy.gov/u-s-citizen-services/covid-19-information/,,,,,,,,,
ESH,24.22,-12.89,NA,,,,,,,,,
YEM,15,48,NA,,,,,,,,,
ZMB,-15,30,https://zm.usembassy.gov/covid-19-information-2/,,,,,,,,,
ZWE,-20,30,https://zw.usembassy.gov/covid-19-information-2/,,,,,,,,,
